"Taxation statistics 2015–16 Companies: Selected items, for income years 1980–81 to 2015–161,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-882,1988-892,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Tax losses carried forward to later income years,$,"4,514,147,000","5,050,000,000","6,987,000,000","8,592,000,000","11,358,000,000","13,052,000,000","13,755,000,000",na,na,na,na,na,"35,505,739","6,159,360,334","10,997,313,331","47,965,955,500","50,918,564,647","64,147,592,634","69,758,947,417","95,189,286,003","99,924,172,097","116,844,885,404","124,853,350,794","126,654,477,033","126,567,770,365","134,913,602,642","140,463,117,110","158,706,606,870","179,441,604,235","203,821,900,439","220,431,168,631","242,662,517,798","269,657,275,863","289,252,553,969","322,765,294,343","347,863,206,481"
Net capital losses carried forward to later income years,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"6,475","10,535","18,790","21,940","24,125","27,395","30,460","35,845","39,880","40,995","42,020","42,115","41,165","42,415","48,445","50,585","52,845","55,678","57,342","57,423","56,725","52,896"
Net capital losses carried forward to later income years,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,107,158,849","3,166,128,678","23,029,088,429","26,478,213,639","54,685,053,397","40,884,226,189","41,837,659,208","45,421,315,008","49,872,690,969","56,477,029,587","59,322,683,014","60,492,810,764","57,207,112,798","54,017,706,022","57,473,458,709","68,737,832,114","72,928,833,113","72,736,659,768","79,293,312,200","80,353,381,327","82,611,274,274","80,821,777,318"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loss carry-back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax loss for middle year (not already utilised) chosen to be carried back to earliest year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,464,23,na
Tax loss for middle year (not already utilised) chosen to be carried back to earliest year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"795,669,193","29,945,939",na
Tax loss for current year chosen to be carried back to earliest year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,443,8,na
Tax loss for current year chosen to be carried back to earliest year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"279,458,306","1,305,020",na
Net exempt income for earliest year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,na,na
Net exempt income for earliest year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"96,845",na,na
Income tax liability for earliest year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,407,na,na
Income tax liability for earliest year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"43,207,380",na,na
Amount of tax loss for current year chosen to be carried back to middle year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"13,183",323,na,na
Amount of tax loss for current year chosen to be carried back to middle year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"882,729,329","36,657,411",na,na
Net exempt income for the middle year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,24,7,na,na
Net exempt income for the middle year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"416,655","67,389",na,na
Income tax liability for middle year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"15,931","1,002",na,na
Income tax liability for middle year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,007,619,661","148,168,505",na,na
Loss carry-back tax offset,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"12,630",13,na,na
Loss carry-back tax offset,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"250,031,918","38,590",na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal services income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total amount of PSI included at item 6 income labels,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"24,819","26,378","26,529","25,279"
Total amount of PSI included at item 6 income labels,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"4,663,807,350","5,683,296,689","5,010,605,306","4,795,188,738"
Total amount of deductions against PSI included at item 6 expense labels,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"24,094","25,651","25,865","24,736"
Total amount of deductions against PSI included at item 6 expense labels,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"4,016,403,241","4,109,409,365","4,150,152,543","4,026,091,084"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life insurance companies and friendly societies only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complying superannuation/FHSA class,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,20,20,17,16,19,21,17
Complying superannuation/FHSA class,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"13,970,885,842","13,478,229,884","13,016,923,067","10,093,317,716","9,829,191,408","10,227,358,449","11,064,467,975"
Net capital gain - ordinary class,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,10,9,8,9,12,11
Net capital gain - ordinary class,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"611,044","8,806,505","60,200,601","97,270,586","546,729,980","455,615,980","341,005,499"
Assessable contributions,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,15,13,11,10,10,6
Assessable contributions,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"9,234,851,833","7,228,126,212","6,933,819,360","6,711,648,347","6,377,231,564","6,623,473,093","5,055,149,778"
Fees and charges,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,25,25,23,24,26,24,25
Fees and charges,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"3,479,595,612","3,292,437,983","3,879,255,231","4,199,973,668","4,354,865,208","4,532,589,390","4,298,918,028"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First home saver account (FHSA) providers only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amounts credited to FHSAs,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,20,18,18,17,17,na
Amounts credited to FHSAs,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,130,340","6,221,033","11,697,918","15,954,234","17,330,960","17,978,606",na
Fees and charges applied to FHSAs,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,5,2,3,2,2,na
Fees and charges applied to FHSAs,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,32,97,498,"4,647",275,202,na
Net amounts credited to FHSAs,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,20,18,16,17,17,na
Net amounts credited to FHSAs,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,130,309","6,219,376","11,893,828","9,832,536","17,330,686","17,978,404",na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pooled development funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small and medium sized enterprises income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,10,5,17,44,42,35
Small and medium sized enterprises income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,154,823","44,681,754","4,402,853","26,739,530","70,334,326","55,692,905","36,251,677"
Unregulated investment income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,15,11,10,5,4,7
Unregulated investment income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"323,140","1,451,305","2,566,898","788,366","255,911","248,848","877,380"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retirement savings accounts (RSAs) providers only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No-TFN contributions income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,2,5,4,2,4
No-TFN contributions income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,186,255","1,325,298","1,224,913","1,577,249","1,051,507","1,252,321"
Income tax payable on no-TFN contributions income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,5,2,2,na,na
Income tax payable on no-TFN contributions income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"373,694","176,689","311,253","344,269",na,na
Net taxable income from RSAs,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,15,9,9,10,10,8
Net taxable income from RSAs,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"186,537,011","189,392,054","219,859,904","203,619,092","173,873,382","154,049,670","133,864,948"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign income tax offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign income tax offset,no.,na,na,na,na,na,na,na,na,na,"1,925","2,205","2,595","2,960","3,690","3,645","4,450","4,620","5,005","5,305","5,580","6,290","7,210","8,455","9,565","11,205","12,350","12,475","11,865","9,320","8,565","8,630","7,584","8,841","9,360","10,398","11,588"
Foreign income tax offset,$,na,na,na,na,na,na,na,na,na,"172,094,703","79,075,525","74,760,345","100,187,443","136,999,502","150,899,370","218,845,143","308,111,000","358,493,397","331,383,003","472,979,368","473,361,054","547,780,808","526,593,958","557,318,892","489,531,124","580,845,575","762,028,871","691,206,012","539,495,930","389,434,852","406,999,356","477,236,592","520,173,773","593,320,860","679,191,781","804,614,644"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research and development tax incentive6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-refundable R&D tax offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-refundable R&D tax offset,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,166","1,862","1,960","1,947","1,750"
Non-refundable R&D tax offset,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"3,948,783,765","6,550,482,216","5,490,139,850","5,510,164,982","3,522,404,984"
Non-refundable R&D tax offset carried forward from previous year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,400,734,867,865
Non-refundable R&D tax offset carried forward from previous year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"922,913,918","2,542,175,072","3,576,961,002","4,437,207,129"
Non-refundable R&D tax offset to be utilised in current year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,869,"1,411","1,576","1,584","1,445"
Non-refundable R&D tax offset to be utilised in current year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,636,544,584","4,779,436,734","4,237,887,222","3,895,974,114","3,159,305,802"
Non-refundable R&D tax offset carried forward to next year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,421,834,988,"1,079","1,010"
Non-refundable R&D tax offset carried forward to next year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,250,174,046","2,546,561,790","3,766,064,053","5,128,348,928","4,729,343,583"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refundable R&D tax offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refundable R&D tax offset,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"6,747","7,973","9,252","10,409","10,710"
Refundable R&D tax offset,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,698,075,530","2,002,656,702","2,221,948,599","2,448,556,477","2,560,555,314"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedstock adjustment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feedstock adjustment - additional assessable income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,307,437,507,433
Feedstock adjustment - additional assessable income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"983,529,319","711,977,881","509,603,447","246,437,375"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculation statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxable or net income,no.,na,na,na,na,na,na,na,na,na,"167,055","163,095","166,805","179,480","211,015","230,140","236,870","249,760","260,265","276,850","298,600","280,740","292,125","311,865","330,690","342,485","350,225","359,240","367,450","344,195","333,190","353,395","371,929","376,028","391,597","405,388","406,664"
Taxable or net income,$,"15,387,697,000","13,933,953,000","13,743,301,000","16,967,222,000","21,150,263,000","25,618,913,000","31,181,311,000","27,981,000,000","42,273,000,000","51,067,688,774","56,276,814,114","56,544,342,284","64,197,456,878","71,306,866,826","80,273,205,265","90,570,148,463","104,298,125,658","120,144,062,415","163,535,844,947","150,774,330,441","154,391,769,935","158,310,872,503","164,756,399,459","153,587,234,347","168,355,567,735","201,816,914,190","243,080,141,815","241,962,596,384","240,171,683,104","216,285,680,187","264,048,574,804","284,078,404,820","267,422,496,320","287,736,787,709","285,123,994,418","291,726,090,130"
Tax on taxable income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"367,378","375,588","391,291","405,117","406,424"
Tax on taxable income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"76,219,449,548","78,570,948,089","84,639,821,889","83,657,887,176","85,382,540,495"
R&D recoupment tax,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,246,281,284,250,223
R&D recoupment tax,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"10,950,375","17,678,227","15,426,237","11,679,473","9,321,314"
Gross tax,no.,na,na,na,na,na,na,na,na,na,"166,730","162,815","166,670","179,280","210,815","229,870","236,700","249,615","260,100","276,690","298,475","280,595","291,945","311,605","330,380","342,200","349,890","358,700","366,810","342,020","332,575","353,160","371,375","375,710","391,388","405,209","406,467"
Gross tax,$,na,na,na,na,na,na,na,na,na,"18,332,081,857","20,115,459,032","20,586,239,024","22,075,002,438","22,320,742,878","25,518,595,141","30,856,909,017","35,316,491,720","41,098,066,400","56,531,592,555","52,222,114,713","50,364,786,227","45,706,411,732","48,231,717,830","44,477,410,417","48,385,902,704","57,982,244,947","69,795,550,363","69,484,088,276","70,315,268,645","62,772,975,659","77,251,294,926","83,148,590,889","78,589,056,644","84,653,951,787","83,668,480,991","85,353,052,991"
Non-refundable non-carry forward tax offsets,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"44,215","49,996","49,673","52,419","54,675","55,974"
Non-refundable non-carry forward tax offsets,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"11,947,084,543","12,665,342,239","9,185,143,230","12,639,794,645","10,691,419,853","15,710,846,581"
Subtotal 1,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,"356,623","365,261","380,414","393,697","393,844"
Subtotal 1,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,978,796","68,146,367,424","69,746,475,967","72,359,907,482","73,427,575,607","70,159,097,161"
Non-refundable carry forward tax offsets,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,"2,378","3,027","3,060","3,207","3,146"
Non-refundable carry forward tax offsets,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"249,000","3,924,360,866","6,857,862,557","7,719,155,979","7,529,375,005","6,931,481,083"
Subtotal 2,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,"355,932","364,444","379,633","392,859","393,038"
Subtotal 2,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,729,796","65,206,787,410","64,979,664,866","67,589,530,949","69,306,056,130","66,692,256,891"
Refundable tax offsets,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"11,040","24,027","13,946","14,839","14,873"
Refundable tax offsets,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,245,500,995","3,036,942,564","3,358,217,152","3,709,372,065","3,962,938,490"
Subtotal 3,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,"352,605","360,612","375,271","388,021","388,384"
Subtotal 3,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,729,796","64,346,046,414","63,705,946,848","66,179,675,816","67,826,877,270","64,981,682,252"
Franking deficit tax offset,no.,na,na,na,na,na,na,na,na,na,210,170,145,145,270,400,325,390,345,330,340,260,240,300,250,265,255,330,335,570,310,375,406,348,443,435,472
Franking deficit tax offset,$,na,na,na,na,na,na,na,na,na,"51,134,852","27,140,463","8,460,331","10,885,580","45,593,315","77,665,065","43,641,498","122,704,554","119,538,703","215,972,488","80,795,104","61,808,711","156,102,687","57,024,419","36,782,028","22,490,747","56,891,244","50,206,182","72,067,659","97,295,484","172,492,336","216,023,106","95,386,690","168,622,114","83,919,863","134,091,212","107,265,378"
Tax payable,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"342,905","357,842","360,743","375,229","387,969","388,361"
Tax payable,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"64,681,964,465","66,772,478,403","63,569,836,063","66,105,852,165","67,728,831,492","64,944,290,761"
Section 102AAM interest charge,no.,na,na,na,na,na,na,na,na,na,na,60,60,50,55,60,65,75,75,65,65,30,35,20,25,20,20,30,30,40,20,20,18,14,12,11,na
Section 102AAM interest charge,$,na,na,na,na,na,na,na,na,na,na,"226,665","115,555","45,941","55,232","345,025","57,212","215,859","107,848","177,116","319,476","33,196","277,160","82,624","46,469","101,638","16,477","180,784","161,133","1,114,767","3,482,293","274,631","76,086","9,478","27,576","69,235",na
Credit for interest on early payments - amount of interest,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,820,420,155,230,225,195,390,190,145,175,140,135,95,100,100,30,110,174,127,125,111,126
Credit for interest on early payments - amount of interest,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"5,842,147","570,210","73,552","500,424","37,764","93,195","22,233","14,335","9,873","18,311","52,667","24,247","13,464","15,788","1,074,875","9,725","399,125","2,250,266","328,253","296,871","233,475","95,371"
Credit for tax withheld - foreign resident withholding,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,560,765,890,980,910,"1,135","1,140","1,498","1,553","1,479","1,392","1,321"
Credit for tax withheld - foreign resident withholding,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"15,276,994","24,576,338","50,190,691","71,500,753","52,913,335","94,056,302","104,620,182","105,226,904","159,775,282","163,081,572","110,435,165","95,838,161"
Credit for tax withheld where ABN is not quoted,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,530,255,225,230,280,225,225,220,255,170,185,174,151,123,103,100
Credit for tax withheld where ABN is not quoted,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,231,199","1,581,505","344,909","373,104","1,077,869","1,755,688","1,405,763","998,790","1,457,116","387,910","2,232,537","1,690,479","727,215","1,021,981","210,957","715,553"
Tax withheld from interest or investments,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"21,215","22,375","24,705","29,345","27,275","21,845","21,895","23,650","22,505","23,530","23,610","22,745","19,580","16,750","18,730","19,192","17,320","16,734","16,645","14,922"
Tax withheld from interest or investments,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"16,826,518","21,088,652","20,424,383","38,365,780","30,351,876","22,753,022","28,718,910","27,371,088","54,593,167","52,270,457","45,801,496","49,266,949","32,777,711","21,550,784","31,222,443","65,449,609","38,486,936","36,746,101","31,715,961","24,395,385"
Credit for TFN amounts withheld from payments from closely held trusts,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,310,305,247,190,237,230
Credit for TFN amounts withheld from payments from closely held trusts,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,715,811","5,735,704","1,338,069","659,130","780,464","1,088,670"
Other credits,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"9,727","7,522","5,937","5,455","5,382"
Other credits,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"672,942,473","407,188,931","345,309,397","411,177,020","442,559,809"
Eligible credits,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"30,891","25,947","23,813","23,237","21,374"
Eligible credits,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,734,368,608","607,724,780","546,818,181","554,319,566","564,597,578"
Remainder of refundable tax offsets,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"6,080","20,083","10,434","11,527","11,708"
Remainder of refundable tax offsets,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,368,238,347","1,758,069,697","1,945,743,162","2,221,885,028","2,251,458,157"
PAYG instalments raised,no.,na,na,na,na,na,na,na,na,na,"11,840","30,200","34,805","36,140","43,460","74,635","100,415","108,565","118,080","125,340","100,980","231,185","236,170","256,660","296,880","313,730","326,450","334,040","338,655","335,375","327,970","321,620","328,045","340,116","348,191","348,191","348,409"
PAYG instalments raised,$,na,na,na,na,na,na,na,na,na,"4,111,292,417","6,422,311,442","6,864,894,828","7,653,185,397","7,270,822,267","9,058,858,705","9,747,791,118","12,897,322,298","14,604,477,441","16,491,156,192","16,749,197,305","24,148,440,188","25,510,780,090","27,678,271,887","29,924,732,994","33,865,309,669","39,193,847,799","46,831,378,930","50,174,690,359","49,411,804,148","45,850,123,905","49,491,771,419","54,471,499,215","55,291,432,964","56,937,036,951","55,218,888,525","53,424,911,982"
Amount due or refundable,no.,na,na,na,na,na,na,na,na,na,"165,505","161,810","169,955","179,930","217,660","238,125","251,345","266,140","279,330","297,360","318,605","346,600","355,820","376,275","411,635","427,570","438,305","449,040","456,250","438,850","429,130","438,325","453,180","465,431","477,221","488,336","485,850"
Amount due or refundable,$,na,na,na,na,na,na,na,na,na,"6,627,391,523","6,072,074,606","6,354,762,834","5,981,317,640","4,111,611,627","8,180,819,434","2,622,300,186","6,031,457,771","6,516,442,888","6,163,293,802","11,520,757,108","3,452,003,376","2,741,031,249","3,552,899,801","6,600,883,852","7,550,516,919","9,958,845,022","12,195,711,337","8,379,461,005","9,326,949,552","6,929,130,373","12,894,626,959","10,062,208,781","5,912,826,446","6,676,281,446","9,733,807,607","8,703,323,109"
Net tax5,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"321,890","342,905","361,174","364,616","379,646","392,836","393,048"
